event_id	pos_id	mse_n	exon	intron	strand	gene_id	gene_name	label	ref_junction	ref_PSI	alt_junction	alt_PSI	dPSI	OR_junction	p_junction	p_maximum	q	Diff events	WT_F_1_PSI	WT_F_2_PSI	WT_F_3_PSI	KO_F_1_PSI	KO_M_3_PSI	KO_M_4_PSI	p_ttest
MSE_1166	MSE@chr14@26960951-26961038;26962806-26962877@26959466-26963647	2	chr14:26960951-26961038;chr14:26962806-26962877	chr14:26959466-26960951;chr14:26961038-26962806;chr14:26962877-26963647;chr14:26959466-26963647	-	ENSMUSG00000040760	Appl1	unannotated	296;315;361;42	0.8852459016393442	485;413;384;1	0.9976653696498055	0.11241946801046121	0.014531173294059892;0.018159806295399514;0.02238343253968254	3.059160640551669e-16;5.682438246625063e-14;5.03398198570035e-12	5.03398198570035e-12	5.846283624301997e-10	Yes	1.0	1.0	0.21739130434782608	1.0	0.9944341372912802	1.0	0.42539754997124146
MSE_3466	MSE@chr2@25586868-25587031;25587275-25587627;25588609-25588712@25585833-25592298	3	chr2:25586868-25587031;chr2:25587275-25587627;chr2:25588609-25588712	chr2:25585833-25586868;chr2:25587031-25587275;chr2:25587627-25588609;chr2:25588712-25592298;chr2:25585833-25592298	-	ENSMUSG00000015087	Rabl6	unannotated	326;0;704;881;54	0.8984485190409027	428;12;466;553;0	1.0	0.10155148095909727	0.0;0.0;0.0;0.0	2.3806458570523954e-19;2.0313314671909002e-13;3.1397791126205907e-12;8.712528106351486e-12	8.712528106351486e-12	9.275212213220019e-10	Yes	0.8367346938775511	1.0	0.8323057953144266	1.0	1.0	1.0	0.18357651745786016
MSE_376	MSE@chr11@20692465-20692588;20696751-20696831;20698313-20698373@20686198-20703711	3	chr11:20692465-20692588;chr11:20696751-20696831;chr11:20698313-20698373	chr11:20686198-20692465;chr11:20692588-20696751;chr11:20696831-20698313;chr11:20698373-20703711;chr11:20686198-20703711	-	ENSMUSG00000049659	Aftph	unannotated	477;70;14;406;56	0.8119227539882452	551;105;28;374;3	0.9887850467289719	0.17686229274072673	0.04637671765620949;0.03571428571428571;0.026785714285714284;0.05815508021390375	7.384974104371832e-15;4.920847041144792e-15;1.842014743112422e-11;3.3443721107614617e-12	1.842014743112422e-11	1.8825390674608953e-09	Yes	1.0	1.0	0.44963144963144963	0.9594594594594594	1.0	1.0	0.4521996586536293
MSE_4538	MSE@chr5@21222390-21222439;21225563-21225727;21226244-21226348;21226774-21226833@21221295-21228024	4	chr5:21222390-21222439;chr5:21225563-21225727;chr5:21226244-21226348;chr5:21226774-21226833	chr5:21221295-21222390;chr5:21222439-21225563;chr5:21225727-21226244;chr5:21226348-21226774;chr5:21226833-21228024;chr5:21221295-21228024	+	ENSMUSG00000039934	Gsap	annotated	1097;8;0;809;843;75	0.8802681992337165	937;15;8;867;787;0	1.0	0.11973180076628354	0.0;0.0;0.0;0.0;0.0	2.7508682373816756e-20;2.683552715994445e-12;2.5352895209664222e-11;1.3127158665529518e-23;2.91901492242508e-21	2.5352895209664222e-11	2.540260676889886e-09	Yes	0.9361022364217253	0.9663928304705004	0.6838407494145199	1.0	1.0	1.0	0.2635498712631844
MSE_1748	MSE@chr16@4957968-4958166;4960397-4960568@4957762-4964120	2	chr16:4957968-4958166;chr16:4960397-4960568	chr16:4957762-4957968;chr16:4958166-4960397;chr16:4960568-4964120;chr16:4957762-4964120	-	ENSMUSG00000022515	Anks3	annotated	606;380;321;227	0.6574446680080482	568;424;321;86	0.8357733927434754	0.17832872473542716	0.4042005335980642;0.3395395228991771;0.3788546255506608	1.942409360319457e-11;1.4878894537226522e-14;2.7420238576106745e-11	2.7420238576106745e-11	2.694565752382797e-09	Yes	0.704460966542751	0.8256880733944955	0.4874371859296482	0.8225806451612904	0.8333333333333334	0.8502581755593803	0.2409512905201942
MSE_2254	MSE@chr18@10574875-10575018;10577001-10577090;10582055-10582186;10584248-10584362;10585978-10586041;10588439-10588550@10572142-10596339	6	chr18:10574875-10575018;chr18:10577001-10577090;chr18:10582055-10582186;chr18:10584248-10584362;chr18:10585978-10586041;chr18:10588439-10588550	chr18:10572142-10574875;chr18:10575018-10577001;chr18:10577090-10582055;chr18:10582186-10584248;chr18:10584362-10585978;chr18:10586041-10588439;chr18:10588550-10596339;chr18:10572142-10596339	-	ENSMUSG00000024293	Esco1	unannotated	174;329;172;249;352;145;0;55	0.7868217054263565	389;231;147;216;209;208;19;0	1.0	0.21317829457364346	0.0;0.0;0.0;0.0;0.0;0.0;0.0	1.9564276581412852e-26;1.4124988253307602e-12;9.209300962411947e-14;2.8462128921129846e-14;5.0392590426177904e-11;1.1510567084272316e-19;4.669010726312787e-18	5.0392590426177904e-11	4.517651527680159e-09	Yes	1.0	0.8596491228070176	0.4868421052631579	1.0	1.0	1.0	0.2907897175576898
MSE_2255	MSE@chr18@10574875-10575018;10577001-10577090;10582055-10582186;10584248-10584362;10585978-10586041;10588439-10588550;10593746-10595875@10572142-10596339	7	chr18:10574875-10575018;chr18:10577001-10577090;chr18:10582055-10582186;chr18:10584248-10584362;chr18:10585978-10586041;chr18:10588439-10588550;chr18:10593746-10595875	chr18:10572142-10574875;chr18:10575018-10577001;chr18:10577090-10582055;chr18:10582186-10584248;chr18:10584362-10585978;chr18:10586041-10588439;chr18:10588550-10593746;chr18:10595875-10596339;chr18:10572142-10596339	-	ENSMUSG00000024293	Esco1	unannotated	174;329;172;249;352;145;141;138;55	0.794392523364486	389;231;147;216;209;208;119;163;0	1.0	0.20560747663551404	0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0	1.9564276581412852e-26;1.4124988253307602e-12;9.209300962411947e-14;2.8462128921129846e-14;5.0392590426177904e-11;1.1510567084272316e-19;1.7536935728256942e-13;4.054577525536618e-17	5.0392590426177904e-11	4.517651527680159e-09	Yes	1.0	0.8610206297502715	0.5398230088495575	1.0	1.0	1.0	0.28038513401435067
MSE_4813	MSE@chr6@123286208-123286359;123286432-123286518@123285584-123288894	2	chr6:123286208-123286359;chr6:123286432-123286518	chr6:123285584-123286208;chr6:123286359-123286432;chr6:123286518-123288894;chr6:123285584-123288894	-	ENSMUSG00000030142	Clec4e	annotated	88;141;102;0	1.0	51;30;31;27	0.5803108808290155	-0.4196891191709845	inf;inf;inf	7.79698920080421e-11;9.568768685808321e-18;9.017447071927122e-15	7.79698920080421e-11	6.8694163476050885e-09	Yes	1.0	1.0	1.0	0.46153846153846156	0.8208955223880597	0.4482758620689655	0.0740918565468471
MSE_5121	MSE@chr7@112333829-112333954;112345246-112345353@112332039-112346722	2	chr7:112333829-112333954;chr7:112345246-112345353	chr7:112332039-112333829;chr7:112333954-112345246;chr7:112345353-112346722;chr7:112332039-112346722	+	ENSMUSG00000038244	Mical2	unannotated	189;15;284;321	0.3363197794624397	338;55;509;194	0.6078167115902965	0.2714969321278568	0.33794171321130345;0.16482582837723025;0.33720752315027325	1.3420373199031772e-17;1.0823202440194182e-10;4.641386177874668e-21	1.0823202440194182e-10	9.373993977863097e-09	Yes	0.226457399103139	0.3894736842105263	0.3793103448275862	0.5978723404255318	0.625	0.6027874564459931	0.0317668945626825
MSE_4296	MSE@chr4@95800557-95800664;95812108-95812169;95820882-95821776;95821977-95822125;95837585-95837659@95769529-95849582	5	chr4:95800557-95800664;chr4:95812108-95812169;chr4:95820882-95821776;chr4:95821977-95822125;chr4:95837585-95837659	chr4:95769529-95800557;chr4:95800664-95812108;chr4:95812169-95820882;chr4:95821776-95821977;chr4:95822125-95837585;chr4:95837659-95849582;chr4:95769529-95849582	+	ENSMUSG00000028573	Fggy	unannotated	310;337;123;44;375;53;69	0.75	281;316;69;29;323;49;0	1.0	0.25	0.0;0.0;0.0;0.0;0.0;0.0	1.6952757002448337e-18;5.609021563635922e-19;1.4444450620091452e-11;1.5656120988172397e-10;4.038564778347912e-18;2.8369069991704755e-14	1.5656120988172397e-10	1.3115209549108352e-08	Yes	1.0	1.0	0.5100591715976331	1.0	1.0	1.0	0.42264973081037405
MSE_4297	MSE@chr4@95800557-95800664;95812108-95812169;95820882-95821776;95821977-95822125;95837585-95837659;95844073-95844193@95769529-95849582	6	chr4:95800557-95800664;chr4:95812108-95812169;chr4:95820882-95821776;chr4:95821977-95822125;chr4:95837585-95837659;chr4:95844073-95844193	chr4:95769529-95800557;chr4:95800664-95812108;chr4:95812169-95820882;chr4:95821776-95821977;chr4:95822125-95837585;chr4:95837659-95844073;chr4:95844193-95849582;chr4:95769529-95849582	+	ENSMUSG00000028573	Fggy	unannotated	310;337;123;44;375;371;255;69	0.7898172323759791	281;316;69;29;323;290;292;0	1.0	0.21018276762402088	0.0;0.0;0.0;0.0;0.0;0.0;0.0	1.6952757002448337e-18;5.609021563635922e-19;1.4444450620091452e-11;1.5656120988172397e-10;4.038564778347912e-18;8.700516318151911e-17;1.2170795832335905e-21	1.5656120988172397e-10	1.3115209549108352e-08	Yes	1.0	1.0	0.573321554770318	1.0	1.0	1.0	0.42264973081037427
MSE_2886	MSE@chr1@174581916-174582063;174593061-174593116@174537211-174608382	2	chr1:174581916-174582063;chr1:174593061-174593116	chr1:174537211-174581916;chr1:174582063-174593061;chr1:174593116-174608382;chr1:174537211-174608382	+	ENSMUSG00000028354	Fmn2	unannotated	313;204;220;37	0.8691037735849058	326;262;268;1	0.9965075669383003	0.12740379335339458	0.025949262145581162;0.021043944708066847;0.02218636546994756	2.0294196718789617e-10;1.1047676163750977e-11;1.8043868639224265e-11	2.0294196718789617e-10	1.6460848449684913e-08	Yes	1.0	1.0	0.5173913043478261	1.0	0.988	1.0	0.4323500619474451
MSE_4822	MSE@chr6@127468032-127468152;127470702-127470830@127453822-127474236	2	chr6:127468032-127468152;chr6:127470702-127470830	chr6:127453822-127468032;chr6:127468152-127470702;chr6:127470830-127474236;chr6:127453822-127474236	+	ENSMUSG00000037997	Parp11	unannotated	299;529;69;144	0.6749435665914221	467;412;98;34	0.9054680259499537	0.2305244593585316	0.15117178206043302;0.3031620819848975;0.16624149659863946	8.934024118900092e-25;2.157196175994724e-10;2.3109507878858997e-14	2.157196175994724e-10	1.7223863217707874e-08	Yes	0.7457627118644068	0.8347457627118644	0.50355871886121	0.8390243902439024	0.9191374663072777	0.9798657718120806	0.14604004526550593
MSE_5386	MSE@chr7@29861016-29861068;29872892-29872933@29860093-29874179	2	chr7:29861016-29861068;chr7:29872892-29872933	chr7:29860093-29861016;chr7:29861068-29872892;chr7:29872933-29874179;chr7:29860093-29874179	+	ENSMUSG00000058402	Zfp420	unannotated	31;33;73;28	0.6199095022624435	55;65;104;0	1.0	0.38009049773755654	0.0;0.0;0.0	1.717487812878116e-10;2.3229563791411384e-11;2.717165180632665e-10	2.717165180632665e-10	2.103744556520139e-08	Yes	0.47619047619047616	0.5887096774193549	1.0	1.0	1.0	1.0	0.18935100479794362
MSE_974	MSE@chr13@59460469-59460629;59461997-59462173@59450314-59465985	2	chr13:59460469-59460629;chr13:59461997-59462173	chr13:59450314-59460469;chr13:59460629-59461997;chr13:59462173-59465985;chr13:59450314-59465985	-	ENSMUSG00000021557	Agtpbp1	unannotated	248;327;153;77	0.759124087591241	171;198;236;5	0.9758064516129032	0.2166823640216623	0.09417483101693629;0.10724124360487997;0.04209773277569888	5.1531449025874854e-11;4.900765339711682e-10;1.1056129147469693e-21	4.900765339711682e-10	3.3841771467468506e-08	Yes	1.0	1.0	0.41370558375634514	0.8880597014925373	1.0	1.0	0.505160329276074
MSE_680	MSE@chr12@11273994-11274111;11276260-11276365@11271871-11279605	2	chr12:11273994-11274111;chr12:11276260-11276365	chr12:11271871-11273994;chr12:11274111-11276260;chr12:11276365-11279605;chr12:11271871-11279605	+	ENSMUSG00000020608	Smc6	annotated	94;120;114;0	1.0	68;102;113;34	0.7350649350649351	-0.2649350649350649	inf;inf;inf	9.700367203673244e-12;6.924226632686771e-11;5.433874812191774e-10	5.433874812191774e-10	3.6535658276710484e-08	Yes	1.0	1.0		0.6907216494845362	0.6326530612244897	1.0	0.1864937517837219
MSE_354	MSE@chr11@119362217-119362296;119363400-119363542;119368664-119368839;119369193-119369265@119359382-119370749	4	chr11:119362217-119362296;chr11:119363400-119363542;chr11:119368664-119368839;chr11:119369193-119369265	chr11:119359382-119362217;chr11:119362296-119363400;chr11:119363542-119368664;chr11:119368839-119369193;chr11:119369265-119370749;chr11:119359382-119370749	+	ENSMUSG00000039908	Slc26a11	annotated	177;199;254;266;238;44	0.8375184638109305	293;243;206;183;223;0	1.0	0.16248153618906946	0.0;0.0;0.0;0.0;0.0	5.001694485026686e-18;1.335834165184872e-14;3.07022952596493e-11;6.546730923901184e-10;2.3743603031458282e-12	6.546730923901184e-10	4.3446487040435127e-08	Yes	1.0	1.0	0.5573440643863179	1.0	1.0	1.0	0.4226497308103745
