event_id	pos_id	exon_a	exon_b	exon_c	intron_a	strand	gene_id	gene_name	label	ref_junction_a	ref_junction_a_start	ref_junction_a_end	ref_PSI	alt_junction_a	alt_junction_a_start	alt_junction_a_end	alt_PSI	dPSI	OR_junction_a_start	p_junction_a_start	OR_junction_a_end	p_junction_a_end	p_maximum	q	Diff events	WT_F_1_PSI	WT_F_2_PSI	WT_F_3_PSI	KO_F_1_PSI	KO_M_3_PSI	KO_M_4_PSI	p_ttest
RI_8437	RI@chrX@74307870-74308130	chrX:74307672-74307870	chrX:74308130-74308261	chrX:74307672-74308261	chrX:74307870-74308130	+	ENSMUSG00000015291	Gdi1	annotated	5375	1620	1716	0.23683089592503195	3807	2006	1953	0.3420893458912987	0.10525844996626674	1.7482820794702416	1.628404711523687e-45	1.6068692930395059	1.3613257888912538e-33	1.3613257888912538e-33	5.106826685479685e-31	Yes	0.2241478913922588	0.28418945963975983	0.18496110630942092	0.29742726616975235	0.34454791228597176	0.38555691554467564	0.04516169489661412
RI_1094	RI@chr12@111825108-111827543	chr12:111825017-111825108	chr12:111827543-111827685	chr12:111825017-111827685	chr12:111825108-111827543	+	ENSMUSG00000021286	Zfyve21	unannotated	3142	181	817	0.1370502609173304	1494	385	785	0.2813852813852814	0.144335020467951	4.473400045855614	4.0236933441588186e-60	2.0207062439886023	1.4497286982044904e-32	1.4497286982044904e-32	5.0837153017037466e-30	Yes	0.14093959731543623	0.18496868475991649	0.09975369458128079	0.2562326869806094	0.29667812142038946	0.29386203150461704	0.014564074537498735
RI_4303	RI@chr2@181364096-181364311	chr2:181364014-181364096	chr2:181364311-181364398	chr2:181364014-181364398	chr2:181364096-181364311	-	ENSMUSG00000038671	Arfrp1	annotated	1612	322	211	0.14186851211072665	934	463	447	0.3275737940964723	0.18570528198574565	2.481665713487704	3.6769738982244925e-28	3.656311842252149	5.973047548760187e-47	3.6769738982244925e-28	1.230783444842053e-25	Yes	0.1864406779661017	0.1436950146627566	0.1111111111111111	0.3	0.31645569620253167	0.35970561177552896	0.0036315693003185316
RI_1580	RI@chr14@30917787-30918275	chr14:30917662-30917787	chr14:30918275-30918443	chr14:30917662-30918443	chr14:30917787-30918275	-	ENSMUSG00000006522	Itih3	annotated	3105	1412	1522	0.32086614173228345	2806	2285	2163	0.4421471172962227	0.12128097556393924	1.790710769516556	7.345180603845172e-43	1.5725910686973568	9.817559250800884e-27	9.817559250800884e-27	3.0123544301207378e-24	Yes	0.43661971830985913	0.3446889046605157	0.18998527245949925	0.4489795918367347	0.4837962962962963	0.4255009107468124	0.21049652154157994
RI_1221	RI@chr12@76938755-76939967	chr12:76937272-76938755	chr12:76939967-76940090	chr12:76937272-76940090	chr12:76938755-76939967	-	ENSMUSG00000059436	Max	unannotated	1265	301	136	0.14728682170542637	778	524	273	0.33871653208669783	0.19142971038127146	2.8305818650769927	3.830231648816841e-35	3.2638836382882204	2.058409006384529e-26	2.058409006384529e-26	5.830047662698336e-24	Yes	0.15838509316770186	0.2200392927308448	0.08505747126436781	0.3582474226804124	0.30708661417322836	0.34394904458598724	0.03009637373932612
RI_2032	RI@chr15@79905600-79906380	chr15:79905444-79905600	chr15:79906380-79906602	chr15:79905444-79906602	chr15:79905600-79906380	+	ENSMUSG00000009585	Apobec3	annotated	126	25	461	0.6585365853658537	5	82	425	0.9806576402321083	0.32212105486625464	82.656	1.2845059727942902e-34	23.232104121475054	2.0219307499855394e-26	2.0219307499855394e-26	5.830047662698336e-24	Yes	1.0	1.0	0.2246153846153846	1.0	1.0	0.9481865284974094	0.44934881585060993
RI_8092	RI@chr9@50528232-50528557	chr9:50528146-50528232	chr9:50528557-50528724	chr9:50528146-50528724	chr9:50528232-50528557	-	ENSMUSG00000032067	Pts	unannotated	358	324	149	0.39781328847771236	69	312	167	0.7763371150729336	0.3785238265952212	4.996242619431025	2.0253789012964192e-29	5.815193074603638	2.917286797648912e-26	2.917286797648912e-26	7.672464277816638e-24	Yes	0.2861736334405145	0.40977443609022557	0.4797687861271676	0.7397260273972602	0.7456140350877193	0.8271604938271605	0.009891379034267135
RI_2192	RI@chr16@14190232-14192342	chr16:14190087-14190232	chr16:14192342-14192928	chr16:14190087-14192928	chr16:14190232-14192342	+	ENSMUSG00000022678	Nde1	unannotated	300	456	2163	0.8136067101584343	63	525	1741	0.947324414715719	0.1337177045572847	5.482456140350878	1.3247760755366419e-34	3.8328600048433614	7.742579542253972e-26	7.742579542253972e-26	1.9660812327295948e-23	Yes	0.7814070351758794	0.799576570218772	0.8588469184890656	0.954140127388535	0.9040247678018576	0.9708636836628513	0.01425497804000463
RI_6904	RI@chr7@29912762-29912983	chr7:29912169-29912762	chr7:29912983-29916813	chr7:29912169-29916813	chr7:29912762-29912983	+	ENSMUSG00000099689	Zfp383	unannotated	351	170	78	0.26105263157894737	134	272	229	0.6514954486345904	0.39044281705564304	4.191044776119403	1.536902301946653e-25	7.690298507462686	3.307211377860359e-39	1.536902301946653e-25	3.6508866295274686e-23	Yes	0.19667590027700832	0.3559322033898305	0.17045454545454544	1.0	0.7412935323383084	0.4360313315926893	0.08352650375744897
RI_8179	RI@chr9@7205400-7206720	chr9:7205298-7205400	chr9:7206720-7208205	chr9:7205298-7208205	chr9:7205400-7206720	+	ENSMUSG00000032002	Dcun1d5	unannotated	1604	413	667	0.251865671641791	963	546	868	0.4233532934131736	0.1714876217713826	2.2020170019536405	6.663925640502593e-25	2.167564192981391	2.029501138629614e-32	6.663925640502593e-25	1.5335358880206593e-22	Yes	0.22272727272727272	0.3277310924369748	0.19634060520760027	0.3754152823920266	0.4676258992805755	0.4188679245283019	0.029647792942265182
RI_3025	RI@chr17@80204387-80205262	chr17:80204313-80204387	chr17:80205262-80205438	chr17:80204313-80205438	chr17:80204387-80205262	-	ENSMUSG00000024097	Srsf7	annotated	3570	1268	1682	0.2923686818632309	2048	1204	1677	0.4129281926329368	0.12055951076970589	1.655181018335962	8.2459704302235e-25	1.737982243051427	6.899422767070291e-36	8.2459704302235e-25	1.840100795398965e-22	Yes	0.3553338449731389	0.3293495748103884	0.1886370890520268	0.3398419339841934	0.4131054131054131	0.47058823529411764	0.1494068499076234
RI_7400	RI@chr8@13935289-13939563	chr8:13935146-13935289	chr8:13939563-13941093	chr8:13935146-13941093	chr8:13935289-13939563	+	ENSMUSG00000038365	Fbxo25	unannotated	755	83	165	0.1410693970420933	342	182	248	0.3859964093357271	0.2449270122936338	4.840766575072219	1.3551663167912337e-28	3.318093212830055	4.0235816191234574e-24	4.0235816191234574e-24	8.465615726635755e-22	Yes	0.1285140562248996	0.24795640326975477	0.0038022813688212928	0.4935064935064935	0.34497816593886466	0.34488734835355284	0.041653621565236776
RI_2954	RI@chr17@55971660-55972788	chr17:55971434-55971660	chr17:55972788-55972893	chr17:55971434-55972893	chr17:55971660-55972788	+	ENSMUSG00000039154	Shd	unannotated	121	459	288	0.7553083923154702	6	417	382	0.9852034525277436	0.22989506021227335	18.32135076252723	4.5036245366583805e-24	26.74884259259259	8.633869335793339e-32	4.5036245366583805e-24	9.212414191097865e-22	Yes	0.8352059925093633	0.8170731707317073	0.649746192893401	1.0	0.9225806451612903	1.0	0.05557788347885013
RI_7864	RI@chr9@119073980-119074165	chr9:119073763-119073980	chr9:119074165-119074323	chr9:119073763-119074323	chr9:119073980-119074165	-	ENSMUSG00000010660	Plcd1	unannotated	427	304	329	0.425689307330195	162	376	427	0.712511091393079	0.286821784062884	3.260071474983756	1.0153808406228949e-23	3.4209351195166797	8.525038715023607e-27	1.0153808406228949e-23	2.020882300093783e-21	Yes	0.42950819672131146	0.6301369863013698	0.30376344086021506	0.7488789237668162	0.7056277056277056	0.68	0.10806715156482673
RI_3799	RI@chr1@42707258-42708357	chr1:42707061-42707258	chr1:42708357-42708418	chr1:42707061-42708418	chr1:42707258-42708357	-	ENSMUSG00000097063	Pantr2	unannotated	554	673	1160	0.6232573954437266	194	705	1005	0.8150619637750238	0.19180456833129722	2.991452336820821	4.5195827139578236e-30	2.4740934944898685	1.899478505704699e-23	1.899478505704699e-23	3.586605055387027e-21	Yes	0.6021978021978022	0.7307001795332136	0.5136314067611778	0.7105263157894737	0.8620689655172413	0.8685567010309279	0.07420461992478286
RI_2266	RI@chr16@20401034-20402260	chr16:20399806-20401034	chr16:20402260-20404713	chr16:20399806-20404713	chr16:20401034-20402260	-	ENSMUSG00000022822	Abcc5	unannotated	565	1274	1561	0.7150063051702396	152	895	1561	0.8898550724637682	0.1748487672935286	2.611310212344047	2.957181266413434e-23	3.7171052631578947	4.673022219580847e-47	2.957181266413434e-23	5.4441707114671325e-21	Yes	0.7491525423728813	0.8558303886925795	0.5771771771771772	0.8607734806629834	0.9228855721393034	0.8896289248334919	0.1763110909102508
RI_7462	RI@chr8@4265276-4266556	chr8:4265226-4265276	chr8:4266556-4266680	chr8:4265226-4266680	chr8:4265276-4266556	-	ENSMUSG00000002949	Timm44	annotated	769	301	337	0.2931985294117647	457	464	495	0.5120128136679124	0.21881428425614768	2.593950144303816	2.6312062125750684e-24	2.4716412677181205	3.750893440219429e-23	3.750893440219429e-23	6.736970559457531e-21	Yes	0.34627831715210355	0.3276283618581907	0.21081081081081082	0.5488215488215489	0.423728813559322	0.5454545454545454	0.02334325193224525
RI_8241	RI@chrX@100736472-100736689	chrX:100736251-100736472	chrX:100736689-100736837	chrX:100736251-100736837	chrX:100736472-100736689	+	ENSMUSG00000019359	Gdpd2	unannotated	882	710	642	0.4338896020539153	580	952	965	0.6230094247643809	0.18911982271046562	2.039009227780476	9.599008290075559e-23	2.2857718337093136	1.6521978585255108e-29	9.599008290075559e-23	1.683026120193248e-20	Yes	0.43119266055045874	0.4802494802494803	0.3533083645443196	0.6296296296296297	0.6343490304709142	0.6133879781420765	0.02827843461091679
RI_8414	RI@chrX@74022249-74022473	chrX:74022185-74022249	chrX:74022473-74022664	chrX:74022185-74022664	chrX:74022249-74022473	-	ENSMUSG00000031392	Irak1	unannotated	502	117	73	0.15912897822445563	339	264	235	0.4239592183517417	0.26483024012728607	3.34135088117389	4.445937044415968e-21	4.767042469794318	4.46912859390716e-28	4.445937044415968e-21	7.275528976684265e-19	Yes	0.12401055408970976	0.23509933774834438	0.004739336492890996	0.42201834862385323	0.4852941176470588	0.39019189765458423	0.028646987830727805
RI_4686	RI@chr3@108200270-108200373	chr3:108200125-108200270	chr3:108200373-108200626	chr3:108200125-108200626	chr3:108200270-108200373	-	ENSMUSG00000048796	Cyb561d1	unannotated	131	297	209	0.6588541666666666	9	278	191	0.9630390143737166	0.30418484770705	13.624392068836514	5.87857224064097e-23	13.301967038809144	4.8250372513559494e-21	4.8250372513559494e-21	7.724255286735915e-19	Yes	1.0	0.9313304721030042	0.33152173913043476	1.0	0.984375	0.9111111111111111	0.4255533559228404
RI_7303	RI@chr8@111658441-111666061	chr8:111658386-111658441	chr8:111666061-111666204	chr8:111658386-111666204	chr8:111658441-111666061	+	ENSMUSG00000055835	Zfp1	unannotated	115	4	77	0.2604501607717042	2	48	76	0.96875	0.7082998392282958	690.0	7.306472483656195e-35	56.753246753246756	5.448603000632588e-21	5.448603000632588e-21	8.536917552480506e-19	Yes	1.0	0.6388888888888888	0.12446351931330472	0.8823529411764706	1.0	1.0	0.2784816192251396
RI_7665	RI@chr8@94079612-94080768	chr8:94079483-94079612	chr8:94080768-94080939	chr8:94079483-94080939	chr8:94079612-94080768	-	ENSMUSG00000031755	Bbs2	unannotated	760	737	123	0.36134453781512604	325	691	360	0.6178718400940623	0.2565273022789362	2.192506001461225	6.4548001281185286e-21	6.8442776735459665	1.4185170730047843e-61	6.4548001281185286e-21	9.902739196555175e-19	Yes	0.3621621621621622	0.43457943925233644	0.2961816305469556	0.5879218472468917	0.6094117647058823	0.6465638148667602	0.013674584514522841
RI_929	RI@chr11@78540998-78541361	chr11:78540895-78540998	chr11:78541361-78541737	chr11:78540895-78541737	chr11:78540998-78541361	+	ENSMUSG00000001105	Ift20	unannotated	1405	867	295	0.29254783484390734	546	661	325	0.47449470644850816	0.18194687160460082	1.9618511054497214	8.110531043358375e-21	2.834947538337369	4.563727263001134e-28	8.110531043358375e-21	1.1945190120658215e-18	Yes	0.33124346917450365	0.3347547974413646	0.2325870646766169	0.419773095623987	0.4634146341463415	0.5287958115183246	0.020722240808372316
RI_3138	RI@chr18@57384276-57389220	chr18:57384174-57384276	chr18:57389220-57392956	chr18:57384174-57392956	chr18:57384276-57389220	+	ENSMUSG00000024594	Prrc1	unannotated	437	20	7	0.029966703662597113	262	103	71	0.2492836676217765	0.21931696395917938	8.589885496183205	4.733106888227867e-22	16.917666303162488	1.1428660475337328e-20	1.1428660475337328e-20	1.61847414885354e-18	Yes	0.006944444444444444	0.06963788300835655	0.0	0.24390243902439024	0.3193717277486911	0.20306513409961685	0.007512950278772505
RI_2938	RI@chr17@46723735-46723919	chr17:46723674-46723735	chr17:46723919-46724027	chr17:46723674-46724027	chr17:46723735-46723919	+	ENSMUSG00000002763	Pex6	annotated	1050	114	159	0.11504424778761062	557	197	242	0.28267868641339344	0.1676344386257828	3.257582915997354	8.435998648717403e-21	2.8691439991870196	1.505430124205052e-20	1.505430124205052e-20	2.052960636045556e-18	Yes	0.08855291576673865	0.21844127332601537	0.03303303303303303	0.19014084507042253	0.28125	0.362406015037594	0.09121634222620188
RI_4867	RI@chr3@86789490-86791995	chr3:86786153-86789490	chr3:86791995-86792111	chr3:86786153-86792111	chr3:86789490-86791995	-	ENSMUSG00000028078	Dclk2	unannotated	189	537	480	0.7290322580645161	55	637	697	0.9238227146814404	0.1947904566169243	4.076282376841036	3.7488190168888326e-20	4.989886363636364	3.5626268158222673e-26	3.7488190168888326e-20	5.0193278618853384e-18	Yes	0.9631578947368421	0.879646017699115	0.3422222222222222	0.9092702169625246	0.9623655913978495	0.911504424778761	0.413331964605913
RI_6907	RI@chr7@30232404-30232482	chr7:30232332-30232404	chr7:30232482-30232536	chr7:30232332-30232536	chr7:30232404-30232482	+	ENSMUSG00000019738	Polr2i	annotated	2297	628	1318	0.2975535168195719	1546	169	512	0.18049297641134376	-0.11706054040822811	0.3998329364458104	1.4484610321638741e-25	0.5771730659374528	1.337409667952256e-19	1.337409667952256e-19	1.727839437684283e-17	Yes	0.23529411764705882	0.17832719621251972	0.38185953938015355	0.16336996336996337	0.2057074910820452	0.1818761965539247	0.3097698351773984
RI_8087	RI@chr9@50524964-50525262	chr9:50524723-50524964	chr9:50525262-50525284	chr9:50524723-50525284	chr9:50524964-50525262	-	ENSMUSG00000032067	Pts	unannotated	200	795	626	0.7803404722679846	47	928	607	0.9422958870472683	0.16195541477928366	4.9672153084437305	6.781846004883418e-26	4.1261640948949765	1.893139549881684e-19	1.893139549881684e-19	2.4036344216084e-17	Yes	0.7552941176470588	0.8363228699551569	0.7023809523809523	0.9473684210526315	0.933579335793358	0.9461172741679873	0.043279167385029724
RI_3302	RI@chr19@41945815-41946917	chr19:41945733-41945815	chr19:41946917-41947103	chr19:41945733-41947103	chr19:41945815-41946917	-	ENSMUSG00000025159	Mms19	annotated	836	72	95	0.09081022294725394	353	179	147	0.31589147286821706	0.22508124992096312	5.88778722064841	2.5625348624067833e-34	3.6645892351274787	2.242369806128494e-19	2.242369806128494e-19	2.752135208721705e-17	Yes	0.06638115631691649	0.22142857142857142	0.014778325123152709	0.29533678756476683	0.34814814814814815	0.31382978723404253	0.06464823693968759
RI_2635	RI@chr17@26253091-26255031	chr17:26252984-26253091	chr17:26255031-26255125	chr17:26252984-26255125	chr17:26253091-26255031	+	ENSMUSG00000024188	Luc7l	unannotated	256	332	1000	0.7223427331887202	65	324	1048	0.9134487350199734	0.19110600183125315	3.8435588507877663	3.9658848032505493e-19	4.1275076923076925	1.9273431374677996e-26	3.9658848032505493e-19	4.78766814608804e-17	Yes	0.7783018867924528	0.7215189873417721	0.6805807622504537	0.894484412470024	0.8357894736842105	0.9868852459016394	0.034259579058819184
RI_8085	RI@chr9@50524779-50526870	chr9:50524723-50524779	chr9:50526870-50526949	chr9:50524723-50526949	chr9:50524779-50526870	-	ENSMUSG00000032067	Pts	unannotated	244	843	225	0.6863753213367609	64	762	335	0.8955102040816326	0.2091348827448717	3.4461743772241995	4.270033806763979e-19	5.676388888888889	1.5316890012687285e-29	4.270033806763979e-19	5.07169821822741e-17	Yes	0.5789473684210527	0.757455268389662	0.7222222222222222	0.8387909319899244	0.91	0.9345794392523364	0.04260184889929127
RI_1471	RI@chr13@73938997-73940237	chr13:73938865-73938997	chr13:73940237-73940790	chr13:73938865-73940790	chr13:73938997-73940237	+	ENSMUSG00000057649	Brd9	annotated	774	473	248	0.31776112825033054	449	587	440	0.5335064935064935	0.21574536525616295	2.1392994533306338	4.686201259418596e-19	3.0584093684891154	2.0926721779570307e-30	4.686201259418596e-19	5.4776485832315146e-17	Yes	0.28051391862955033	0.46187363834422657	0.18778280542986425	0.496551724137931	0.5668202764976958	0.5331412103746398	0.10222636350985755
RI_3190	RI@chr18@84947939-84948023	chr18:84947834-84947939	chr18:84948023-84948096	chr18:84947834-84948096	chr18:84947939-84948023	-	ENSMUSG00000024645	Timm21	unannotated	1312	388	275	0.2017036811682385	779	499	366	0.35699546017333883	0.15529177900510033	2.1660336408030387	1.7765550928431708e-21	2.241531100478469	9.662722732387684e-19	9.662722732387684e-19	1.0947121569431216e-16	Yes	0.2913816689466484	0.2838283828382838	0.07886904761904762	0.38857142857142857	0.3211963589076723	0.36268343815513626	0.1759846075659493
RI_8088	RI@chr9@50525284-50526870	chr9:50524723-50525284	chr9:50526870-50526949	chr9:50524723-50526949	chr9:50525284-50526870	-	ENSMUSG00000032067	Pts	annotated	1979	572	225	0.1676130389064143	1142	608	335	0.29222187790517506	0.12460883899876077	1.8419898840214077	1.062095134151627e-18	2.58013232146332	2.2619068033313024e-24	1.062095134151627e-18	1.1850406921049364e-16	Yes	0.2	0.21710882512181917	0.09382151029748284	0.18941273779983459	0.3808411214953271	0.33390705679862304	0.1419031418206721
RI_7078	RI@chr7@45466271-45466742	chr7:45466220-45466271	chr7:45466742-45466898	chr7:45466220-45466898	chr7:45466271-45466742	-	ENSMUSG00000003873	Bax	unannotated	1658	1236	756	0.3752825923134891	568	883	502	0.5493851646172154	0.17410257230372633	2.08534744063084	1.2943038529338602e-29	1.9382871301885387	2.1514928601923107e-18	2.1514928601923107e-18	2.3299402091847315e-16	Yes	0.4153846153846154	0.4310210444271239	0.3318996415770609	0.4862204724409449	0.5450980392156862	0.6160804020100502	0.03403088903353184
RI_6102	RI@chr6@124850983-124851079	chr6:124850918-124850983	chr6:124851079-124851131	chr6:124850918-124851131	chr6:124850983-124851079	-	ENSMUSG00000023191	P3h3	annotated	0	372	95	1.0	58	298	73	0.7618069815195072	-0.2381930184804928	0.0	7.224359497880358e-20	0.0	1.9694300665762e-17	1.9694300665762e-17	1.9598490554415048e-15	Yes	1.0	1.0	1.0	0.8061224489795918	0.7272727272727273	0.7333333333333333	0.010572492397689546
RI_7308	RI@chr8@11619297-11628439	chr8:11619062-11619297	chr8:11628439-11628530	chr8:11619062-11628530	chr8:11619297-11628439	-	ENSMUSG00000031508	Ankrd10	unannotated	170	267	301	0.6255506607929515	55	359	390	0.8719441210710128	0.2463934602780613	4.155941436840314	8.11351049815132e-18	4.004832376925401	3.5362558832299324e-17	3.5362558832299324e-17	3.2987962989833395e-15	Yes	0.6271186440677966	0.9514563106796117	0.1076923076923077	0.8021201413427562	0.9496402877697842	0.8657718120805369	0.33319967684076174
RI_8214	RI@chr9@88521716-88522307	chr9:88521052-88521716	chr9:88522307-88522381	chr9:88521052-88522381	chr9:88521716-88522307	-	ENSMUSG00000097195	Snhg5	annotated	74	227	463	0.8233890214797136	0	301	337	1.0	0.1766109785202864	inf	6.281411014333445e-25	inf	3.5389042316632783e-17	3.5389042316632783e-17	3.2987962989833395e-15	Yes	1.0	1.0	0.6205128205128205	1.0	1.0	1.0	0.42264973081037427
RI_4842	RI@chr3@65951554-65952737	chr3:65951434-65951554	chr3:65952737-65955276	chr3:65951434-65955276	chr3:65951554-65952737	-	ENSMUSG00000027829	Ccnl1	unannotated	86	262	126	0.6928571428571428	15	368	214	0.9509803921568627	0.25812324929971986	8.0529262086514	8.074756692880645e-17	9.737566137566137	2.4917545926602247e-18	8.074756692880645e-17	7.298097339297439e-15	Yes	0.5866666666666667	0.6381578947368421	1.0	0.9491525423728814	1.0	0.8983050847457628	0.24851621953436961
RI_6702	RI@chr7@141333731-141335845	chr7:141333638-141333731	chr7:141335845-141337156	chr7:141333638-141337156	chr7:141333731-141335845	+	ENSMUSG00000025505	Tmem80	unannotated	146	250	118	0.5575757575757576	33	285	196	0.8793418647166362	0.3217661071408786	5.043636363636364	8.03748962416324e-17	7.3487416538264	8.089060507835669e-22	8.03748962416324e-17	7.298097339297439e-15	Yes	0.65625	0.5819672131147541	0.44642857142857145	0.8985507246376812	0.8095238095238095	0.91701244813278	0.019542735657604348
RI_6987	RI@chr7@4143309-4143419	chr7:4143259-4143309	chr7:4143419-4143697	chr7:4143259-4143697	chr7:4143309-4143419	+	ENSMUSG00000035545	Leng8	unannotated	156	141	95	0.4306569343065693	35	174	167	0.829683698296837	0.39902676399026765	5.500303951367781	8.126615722737507e-17	7.835187969924812	1.4556150261770863e-22	8.126615722737507e-17	7.298097339297439e-15	Yes	0.7931034482758621	0.5741935483870968	0.1674641148325359	0.9318181818181818	0.696969696969697	0.7941176470588235	0.24289178661649694
RI_4317	RI@chr2@181511615-181513039	chr2:181511574-181511615	chr2:181513039-181513087	chr2:181511574-181513087	chr2:181511615-181513039	+	ENSMUSG00000000827	Tpd52l2	unannotated	2078	229	669	0.17768104471705579	1334	509	732	0.31747249936045024	0.13979145464339446	3.462358340480415	1.290637035091229e-49	1.704412367807128	8.720944052387246e-17	8.720944052387246e-17	7.737473735154178e-15	Yes	0.20036934441366575	0.1746031746031746	0.16848364717542122	0.23076923076923078	0.3638914873713751	0.36175882744836774	0.08246438700241149
